Sr.,Category,HS Code,Product,Verity,Summary,Short specs,Long Specs
124,Fruits,80910,Fresh Apricot,Armenian Plum,"A fresh apricot has a delicate, velvety skin that is mostly yellow with a tint of pink. The flesh is firm yet juicy, and has a sweet, tangy flavor. Fresh apricots are a source of vitamins A and C, and also contain potassium and fiber.","Size: Approximately 3 cm in diameter , Shape: Oval , Skin Color: Orange-yellow with a red blush , Flesh Color: Creamy white with a tinge of orange , Texture:","Size: Approximately 3 cm in diameter , Shape: Oval , Skin Color: Orange-yellow with a red blush , Flesh Color: Creamy white with a tinge of orange , Texture:,Scientific name: Prunus armeniaca, ,Origin, Armenia, TSS: 8%, Acidity: 0.9%, Taste: sweet and sour, Seed: large, Ripening Season: late summer, Nutritional value: High in vitamin C and fiber"
125,Fruits,80910,Fresh Apricot,Apricot - Castlebrite,The Castlebrite apricot is a variety of apricot that is grown in the Castle Valley region of Utah. This apricot is known for its sweet flavor and is a favorite among apricot lovers. The Castlebrite apricot is available in the summer months and is a great addition to any fruit salad or dessert.,"Size: 2.5-3.5 cm, Shape: round, oval, Skin Color: yellow, orange, Flesh Color: yellow, orange, Texture: firm, juicy, Weight","Size: 2.5-3.5 cm, Shape: round, oval, Skin Color: yellow, orange, Flesh Color: yellow, orange, Texture: firm, juicy, ,Weight,Scientific name: Prunus armeniaca, Origin: Armenia, TSS value: 8.5, Acidity: 0.15, Taste: Sweet, Seed: Soft, Ripening Season: June-August, Nutritional Value: Vitamin C, Shelf life: 7-10 days"
126,Fruits,80910,Fresh Apricot,Yamagata No. 3,"The Fresh Apricot variety Yamagata No. 3 is a type of apricot that is grown in the Yamagata region of Japan. This fruit is known for its sweetness and is often compared to other apricots in terms of taste. The Yamagata No. 3 is also considered to be a late-season variety, meaning that it is typically harvested later than other types of apricots.","Size: 130-150 mm, Shape: oval, Skin Color: orange, Flesh Color: orange, Texture: soft and juicy, Weight: 100-120 grams","Size: 130-150 mm, Shape: oval, Skin Color: orange, Flesh Color: orange, Texture: soft and juicy, Weight: 100-120 grams,Scientific name: Prunus armeniaca, Origin: Yamagata, Japan, TSS: 13.5%, Acidity: 0.85%, Taste: Sweet, Seed: 1-2, Ripening Season: Late May to Early June, Nutritional Value: Beta-carotene, Vitamin C, Shelf life: 5-7 days"
132,Fruits,80440,Fresh Avocado,Edranol,The Fresh Avocado is a variety of avocado that is grown in the Edranol region. This fruit is known for its high quality and is considered to be a delicacy by many. The Fresh Avocado is available in the Edranol region from late October to early December.,"Size: 8-10 cm, Shape: Heart-shaped, Skin Color: Green, Flesh Color: Yellowish-green, Texture: Soft and creamy, Weight: 200-300 grams","Size: 8-10 cm, Shape: Heart-shaped, Skin Color: Green, Flesh Color: Yellowish-green, Texture: Soft and creamy, Weight: 200-300 grams,Scientific name: Persea americana, Origin: Mexico, TSS value: 7-12%, Acidity: 0.6-1.2%, Taste: Sweet, Seed: Edranol, Ripening Season: January-March, Nutritional Value: Vitamins A, B and C, Shelf life: 2-3 days"
134,Fruits,80440,Fresh Avocado,Ryan,"The Fresh Avocado is a type of avocado that is grown in Mexico. It is a small, green fruit that has a smooth, creamy texture and a nutty flavor. The Fresh Avocado is a versatile fruit that can be used in a variety of dishes, from salads to main courses.","Size: 8-20cm, Shape: ovoid/pear-shaped, Skin Color: green/black, Flesh Color: yellow-green, Texture: creamy, Weight: 150","Size: 8-20cm, Shape: ovoid/pear-shaped, Skin Color: green/black, Flesh Color: yellow-green, Texture: creamy, Weight: 150,Scientific name: Persea americana, Origin: Mexico TSS value: 18-22% , Acidity: 0.8-1.2% Taste: Nutty, creamy Seed: One large, Ripening Season: October to February, Nutritional Value: Rich in vitamins A, B, C, and E"
137,Fruits,81040,Fresh Blueberry,Lowbush,This blueberry variety is lowbush and is produced in regions such as Canada and Maine. It is known for its sweetness and is a favorite among consumers. Other exciting features of this fruit include its low calories and high nutritional value.,"Size: 20-23 mm, Shape: oval, Skin Color: blue, Flesh Color: pale green, Texture: firm, Weight: 4 g","Size: 20-23 mm, Shape: oval, Skin Color: blue, Flesh Color: pale green, Texture: firm, Weight: 4 g,Scientific name: Vaccinium angustifolium, Origin: New Brunswick, Canada , TSS value: 22, Acidity: 6.8, Taste: Sweet, Seed: 2-3, Ripening Season: July-August, Nutritional Value: Vitamin C, Shelf life: 7-10 days"
138,Fruits,81040,Fresh Blueberry,Highbush,"A large, plump blueberry with a deep blue skin. Highbush blueberries are grown in many regions around the world, including the United States, Canada, and Europe. These berries are sweet and have a slightly tart flavor.","Size: 18-22 mm, Shape: oval, Skin Color: blue, Flesh Color: greenish-white, Texture: soft, Weight: 4 g","Size: 18-22 mm, Shape: oval, Skin Color: blue, Flesh Color: greenish-white, Texture: soft, Weight: 4 g,Scientific name: Vaccinium corymbosum, Taste: sweet with tartness, Color: blue-black, Ripening Season: late summer, Nutritional value: Vitamins A and C, as well as dietary fiber."
139,Fruits,81040,Fresh Blueberry,Bog Bilberry,"This fruit is closely related to the wild blueberry and is native to North America. The fruit is small, round and has a dark blue color. The flesh of the fruit is firm and the flavor is sweet. Bog bilberries are grown in bogs and marshes. The fruit is available in late summer and early fall.","Size: 18-22 mm, Shape: oval, Skin Color: blue, Flesh Color: light blue, Texture: soft and juicy, Weight: 5-6 g.","Size: 18-22 mm, Shape: oval, Skin Color: blue, Flesh Color: light blue, Texture: soft and juicy, Weight: 5-6 g.,Scientific name: Vaccinium myrtilloides, Origin: Northern America , TSS value: 10-14%, Acidity: 2-6%, Taste: Tart and Sweet, Seed: Soluble, Ripening Season: Late Summer, Nutritional Value: Vitamins A, B, and C, Shelf life: 2-3 weeks"
142,Fruits,81040,Fresh Blueberry,Rabbiteye,The rabbiteye blueberry is a variety of blueberry that is grown in the southeastern United States. This variety is known for its large fruit size and high yield potential. Rabbiteye blueberries are available from late May through early July.,"Size: 8-10 mm, Shape: round, Skin Color: blue, Flesh Color: blue, Texture: soft and juicy, Weight: 2.5 grams","Size: 8-10 mm, Shape: round, Skin Color: blue, Flesh Color: blue, Texture: soft and juicy, Weight: 2.5 grams,Scientific name: Vaccinium virgatum, Origin: Georgia, TSS value: 7.0%, Acidity: 0.39%, Taste: Sweet, Seed: Many, Ripening Season: June-July, Nutritional Value: Low in calories, high in antioxidants, Shelf life: 2-3 days"
143,Fruits,81040,Fresh Blueberry,Highbush - OZ Bonita,This blueberry variety is known for its large size and sweet flavor. The highbush blueberry is native to North America and is grown in many regions of the United States. The fruit is available fresh from mid-summer to early fall.,"Size: 18-22 mm, Shape: Oval, Skin Color: Blue, Flesh Color: Blue, Texture: Soft and juicy, Weight: 1 g","Size: 18-22 mm, Shape: Oval, Skin Color: Blue, Flesh Color: Blue, Texture: Soft and juicy, Weight: 1 g,Scientific name: Vaccinium corymbosum, Origin: United States, TSS value: 14%, Acidity: 4%, Taste: Sweet, Seed: Small, Ripening Season: Summer, Nutritional Value: Vitamin C, Shelf life: Fresh - 10 days, Frozen - 12 months"
144,Fruits,81040,Fresh Blueberry,Highbush - OZ Julieta,The OZ Julieta blueberry is a highbush variety that is grown in regions with cool climates. This fruit is known for its sweetness and is often likened to a blueberry muffin. The season for this blueberry begins in late July and extends into August.,"Size: 18mm, Shape: oval, Skin Color: blue, Flesh Color: blue, Texture: firm, juicy, Weight: 1 gram","Size: 18mm, Shape: oval, Skin Color: blue, Flesh Color: blue, Texture: firm, juicy, Weight: 1 gram,Scientific name: Vaccinium corymbosum, Origin: United States, TSS value: 14.4%, Acidity: 3.90%, Taste: Sweet, Seed: Solitary, Ripening Season: Late June, Nutritional Value: High in Vitamin C, Shelf life: 2-3 days"
150,Fruits,81040,Fresh Blueberry,Sekoya Beauty,This blueberry variety is known for its delicate sweetness and lovely appearance. The Sekoya Beauty blueberry is small in size but packs a big flavor. This fruit is perfect for those who enjoy a light and refreshing taste.,"Size: 18-22 mm, Shape: Oval, Skin Color: Blue, Flesh Color: Blue, Texture: Firm, Juicy, Weight: 2-3 g","Size: 18-22 mm, Shape: Oval, Skin Color: Blue, Flesh Color: Blue, Texture: Firm, Juicy, Weight: 2-3 g,Scientific name: vaccinium corymbosum, Origin: canada, TSS value: 12.5%, Acidity: 3.6%, Taste: sweet, Seed: small, Ripening Season: june - august, Nutritional Value: Vitamin C, Shelf life: 7-10 days"
153,Fruits,81040,Fresh Blueberry,Highbush - Emerald,"One of the most popular blueberry varieties, the Highbush Emerald is large and firm with a sweet flavor. It is grown in the Northeastern United States and is in season from July to August.","Size: 18-22 mm, Shape: ovoid, Skin Color: blue, Flesh Color: blue, Texture: firm, juicy, Weight: 1-2 g","Size: 18-22 mm, Shape: ovoid, Skin Color: blue, Flesh Color: blue, Texture: firm, juicy, Weight: 1-2 g,Scientific name: Vaccinium corymbosum, Origin: United States , TSS value: 14%, Acidity: 2.5%, Taste: Sweet, Seed: Many, Ripening Season: Late Spring to Early Fall, Nutritional Value: Vitamin C, Shelf life: 3-5 days"
157,Fruits,80520,Fresh Citrus Hybrids,Minneola,The Fresh Citrus Hybrids variety Minneola is a hybrid between a tangerine and a grapefruit. It is characterized by its round shape and its reddish-orange color. The Minneola is a popular fruit among consumers because of its sweet taste and juicy flesh. This fruit is grown in the US and is available year-round.,"Size: 3- 3.5 inches, Shape: Orange-Tangelo hybrid, Skin Color: Orange, Flesh Color: Orange-Pink, Texture: Few seeds, juicy, Weight: 210 g","Size: 3- 3.5 inches, Shape: Orange-Tangelo hybrid, Skin Color: Orange, Flesh Color: Orange-Pink, Texture: Few seeds, juicy, Weight: 210 g,Scientific name: Citrus x tangelo, Origin: China , TSS value: 9.5-11%, Acidity: 0.35-0.70%, Taste: Sweet and Tart , Seed: Few, Ripening Season: November to February , Nutritional Value: Good source of Vitamin C, Shelf life: 3-4 weeks"
159,Fruits,81040,Fresh Cranberry,Mcfarlin,The Fresh Cranberry variety Mcfarlin is a tart and tangy fruit that is grown in the United States. This fruit is typically in season from October to December. The fresh cranberry is a popular holiday fruit that is often used in cranberry sauce or as a garnish on turkey.,"Size: 5-7 mm, Shape: Round, Skin Color: Red, Flesh Color: Red, Texture: Juicy, Weight: 4 g","Size: 5-7 mm, Shape: Round, Skin Color: Red, Flesh Color: Red, Texture: Juicy, Weight: 4 g,Scientific name: Vaccinium macrocarpon, North America, 23%, 3.5%, sour, many, October-November, high in vitamin C, long"
161,Fruits,81040,Fresh Cranberry,Stevens,"Stevens cranberries are a variety of cranberry that is grown in North America. These cranberries are bright red and have a tart, juicy flavor. Stevens cranberries are perfect for using in recipes or as a healthy snack.","Size: 7-9 mm, Shape: round, Skin Color: red, Flesh Color: white, Texture: firm, Weight: 4-5 g","Size: 7-9 mm, Shape: round, Skin Color: red, Flesh Color: white, Texture: firm, Weight: 4-5 g,Scientific name: Vaccinium macrocarpon, Origin: North America,TSS value: Not available, Acidity: 2.85, Taste: Tart. Seed: 1-2 per Berry, Ripening Season: Late September to early November, Nutritional Value: Vitamin C, fiber, Shelf life: 2-3 days"
170,Fruits,80410,Fresh Date,Aseel,This variety of date is grown in Oman and is known for its unique sweetness and chewy texture. The Aseel date is harvested in the summer months and is a popular choice among date lovers.,"Size: 15-20 cm, Shape: Cylindrical, Skin Color: Brown, Flesh Color: Red, Texture: Soft, Weight: 100-120 g","Size: 15-20 cm, Shape: Cylindrical, Skin Color: Brown, Flesh Color: Red, Texture: Soft, Weight: 100-120 g,Scientific name: Phoenix dactylifera, Iraq, 18-25%, 0.5-2.5%, Sweet, One, October to February, Rich in fiber, minerals and vitamins, Shelf Life: 3-4 weeks."
171,Fruits,80410,Fresh Date,Degla Varieties,"The Deglet Noor is a dry, semi-soft variety of date. It is grown in Algeria, Tunisia, Libya, and Morocco. The Deglet Noor is the most common type of date consumed in the United States. It is often used in baking and is also available in date sugar form.","Size: 2-3 cm, Shape: Oval, Skin Color: Brown, Flesh Color: Yellow, Texture: Soft, Weight: 20-30 g","Size: 2-3 cm, Shape: Oval, Skin Color: Brown, Flesh Color: Yellow, Texture: Soft, Weight: 20-30 g,Scientific name: Phoenix dactylifera, Origin:North Africa, TSS value:18-25%, Acidity:0.8-1.3%, Taste:Sweet, Seed:One, Ripening Season:July-September, Nutritional Value:High in vitamins and minerals, Shelf life:3-4 weeks"
174,Fruits,80410,Fresh Date,Ramli,Ramli dates are a variety of fresh dates that are grown in the Ramli region of Egypt. These dates are known for their sweetness and are popular among consumers for their resemblance to the taste of honey. Ramli dates are available in the spring and summer months.,"Size: 4 cm, Shape: oval, Skin Color: brown, Flesh Color: amber, Texture: soft and chewy, Weight: 20 g","Size: 4 cm, Shape: oval, Skin Color: brown, Flesh Color: amber, Texture: soft and chewy, Weight: 20 g,Scientific name: Phoenix dactylifera Origin: Egypt, TSS value: 20-24%, Acidity: 0.8-1.2%, Taste: Sweet, Seed: 1-5%, Ripening Season: August-September, Nutritional Value: Vitamin C, Potassium, Shelf life: 2-3 days"
176,Fruits,80410,Fresh Date,White Deer,The Fresh Date variety White Deer is a type of date that is white in color. It is grown in the region of California in the United States of America. The seasonality of this fruit is from May to September. This fruit is liked by many people because of its sweetness and its soft texture.,"Size: 2-3 cm, Shape: Oval, Skin Color: Brown, Flesh Color: Yellow, Texture: Soft, Weight: 20 g","Size: 2-3 cm, Shape: Oval, Skin Color: Brown, Flesh Color: Yellow, Texture: Soft, Weight: 20 g,Scientific name: Phoenix dactylifera,, Origin: Egypt , TSS value: 17%, Acidity: 0.4%, Taste: Sweet, Seed: edible, Ripening Season: Mid-October, Nutritional Value: high in fiber and vitamins A and C, Shelf life: 6 to 12 months"
178,Fruits,80410,Fresh Date,Gondila,"The Fresh Date variety Gondila is a delicious, nutritious fruit that is native to the Middle East and North Africa. This fruit is especially popular in Egypt, where it is often eaten as a snack or used as a natural sweetener in foods and beverages.","Size: 3 cm, Shape: Oval, Skin Color: Brown, Flesh Color: Red, Texture: Soft, Weight: 20 g","Size: 3 cm, Shape: Oval, Skin Color: Brown, Flesh Color: Red, Texture: Soft, Weight: 20 g,Scientific name:Phoenix dactylifera, Origin:Egyp, TSS value:18-20%, Acidity:0.6-0.8%, Taste:Sweet, Seed:Single, Ripening Season:September to November, Nutritional Value:Vitamin A, fiber, potassium, Shelf life:4-6 weeks"
179,Fruits,80410,Fresh Date,Bertamouta,"The Fresh Date variety Bertamouta is a small, sweet, and juicy date that is grown in the Moroccan region of Souss-Massa. This variety is in season from June to August, and is loved by consumers for its sweetness and easy-to-eat flesh.","Size: 25 mm, Shape: Oblong, Skin Color: Yellow, Flesh Color: Yellow, Texture: Soft, Weight: 3 g","Size: 25 mm, Shape: Oblong, Skin Color: Yellow, Flesh Color: Yellow, Texture: Soft, Weight: 3 g,Scientific name: Phoenix dactyliferaOrigin: Africa, Middle EastTSS value: 28-30%Acidity: 0.4-0.7%Taste: Sweet, chewySeed: One large seedRipening Season: Late summer, early fallNutritional Value: High in fiber, vitamins, and mineralsShelf life: 3-4 weeks"
183,Fruits,80410,Fresh Date,Aswani,"Aswani dates are grown in the Horizontal line in the United Arab Emirates. The date palm produces large, sweet fruit that is popular among date lovers. Aswani dates are available fresh or dried, and are a good source of dietary fiber.","Size: 18-22mm, Shape: Oblong, Skin Color: Brown, Flesh Color: Reddish-brown, Texture: Soft, Weight: 3-5g","Size: 18-22mm, Shape: Oblong, Skin Color: Brown, Flesh Color: Reddish-brown, Texture: Soft, Weight: 3-5g,Scientific name: Phoenix dactylifera, Origin: Egypt, TSS value: 18-26%, Acidity: 0.6-1.4%, Taste: sweet, seed: large, oblong, Ripening Season: mid-July to mid-August, Nutritional Value: high in vitamins and minerals, Shelf life: 1-2 months"
184,Fruits,80410,Fresh Date,Shamia,The Fresh Date variety Shamia is a type of date that is grown in the Middle East. This date is known for its sweetness and juiciness. The Fresh Date variety Shamia is also a good source of fiber and vitamins.,"Size: Length - 6 cm, Breadth - 4 cm, Shape: Oval, Skin Color: Bright Yellow, Flesh Color: Bright Yellow, Texture: Soft and Pulpy, Weight:","Size: Length - 6 cm, Breadth - 4 cm, Shape: Oval, Skin Color: Bright Yellow, Flesh Color: Bright Yellow, Texture: Soft and Pulpy, Weight:,Scientific name: Phoenix dactylifera, Origin: Egypt, TSS value: 18-26%, Acidity: 0.6-1.4%, Taste: sweet, seed: large, oblong, Ripening Season: mid-July to mid-August, Nutritional Value: high in vitamins and minerals, Shelf life: 1-2 months"
190,Fruits,80410,Fresh Date,Piarom,"This variety of date is grown in Iran and is prized for its unique flavor. The flesh of the fruit is dark and rich, with a sweetness that is balanced by a hint of bitterness. The skin of the fruit is thin and delicate, making it a favorite among date lovers.","Size: (19-22 mm), Shape: (Oval), Skin Color: (Yellow-Brown), Flesh Color: (Bright Red), Texture: (Crisp), Weight:","Size: (19-22 mm), Shape: (Oval), Skin Color: (Yellow-Brown), Flesh Color: (Bright Red), Texture: (Crisp), Weight:,Scientific name: Phoenix dactylifera, Origin: North Africa, TSS value: 18%, Acidity: 0.6%, Taste: Sweet, Seed: One, Ripening Season: October to February, Nutritional Value: Vitamin C, Shelf life: 3-4 days"
191,Fruits,80410,Fresh Date,Zahidi,"The Zahidi date is a popular variety of fresh date. It is grown in many regions of the world, including Egypt, Algeria, and Morocco. The Zahidi is a large, golden-brown date with a sweet, rich flavor. It is often eaten as a snack or used in desserts.","Size: 20-25mm, Shape: oval, Skin Color: yellow-green, Flesh Color: yellow, Texture: soft, chewy, Weight: 3-5g","Size: 20-25mm, Shape: oval, Skin Color: yellow-green, Flesh Color: yellow, Texture: soft, chewy, Weight: 3-5g,Scientific name: Phoenix dactylifera, Origin: Egypt, TSS value: 18-22%, Acidity: 0.5-1%, Taste: sweet, Seed: single, Ripening Season: January-April, Nutritional Value: high in fiber and potassium, Shelf life: 3-4 weeks"
193,Fruits,80410,Fresh Date,Barakawi,The Barakawi date is a variety of date that is grown in Egypt. This date is known for its sweetness and is often used in desserts. The Barakawi date is available in the summer months.,"Size: 7-8 cm, Shape: oval, Skin Color: light brown, Flesh Color: light brown, Texture: soft and chewy, Weight: 20-30 g","Size: 7-8 cm, Shape: oval, Skin Color: light brown, Flesh Color: light brown, Texture: soft and chewy, Weight: 20-30 g,Scientific name: Phoenix dactylifera, Origin: Egypt, TSS value: 15-20%, Acidity: 0.5-1%, Taste: Sweet, Seed: One to three, Ripening Season: Mid-season, Nutritional Value: Energy: 280 kJ (67 kcal), Carbohydrates: 17.4 g, Fiber: 3.3"
195,Fruits,80410,Fresh Date,Samany,The Fresh Date variety Samany is a type of date that is grown in the Horizontal line. This variety of date is known for its sweetness and is often used in desserts. Fresh Date Samany is grown in the Middle East and is available in the summer months.,"Size: 20-25mm, Shape: Oblong, Skin Color: Brown, Flesh Color: Brown, Texture: Soft, Weight: 3g","Size: 20-25mm, Shape: Oblong, Skin Color: Brown, Flesh Color: Brown, Texture: Soft, Weight: 3g,Scientific name: Phoenix dactylifera, Origin: Middle East, TSS value: 18-22%, Acidity: 0.4-0.6%, Taste: Sweet, Seed: 1-2%, Ripening Season: August-September, Nutritional Value: Rich in fiber, vitamins, and minerals"
202,Fruits,81090,Fresh Dragon Fruit,Yellow Pitahaya,"The Fresh Dragon Fruit varietyYellow Pitahaya is a unique and delicious fruit that is grown in the tropical regions of the world. This fruit is high in antioxidants and vitamins, and is a great source of fiber. The Fresh Dragon Fruit varietyYellow Pitahaya is a great addition to any diet, and is a perfect snack or dessert.","Size: 2-3 inches, Shape: Oval, Skin Color: Red, Flesh Color: White, Texture: Soft, Weight: 50-70 grams","Size: 2-3 inches, Shape: Oval, Skin Color: Red, Flesh Color: White, Texture: Soft, Weight: 50-70 grams,Scientific name: Hylocereus megalanthusOrigin: MexicoTSS value: 20-22Acidity: 0.4-1.4Taste: Sweet, tangySeed: 1-3%Ripening Season: July-SeptemberNutritional Value: Rich in antioxidants, vitamins C and B, and minerals such as calcium, phosphorus, and ironShelf life: 3-5 days"
205,Fruits,81060,Fresh Durian,Chanee,"A Chanee durian is a type of fresh durian. It is rounder and smaller than other durians, with a strong, sweet smell. The flesh is yellow and has a creamy texture. Chanee durians are grown in Thailand and are available year-round.","Size: 250mm, Shape: Oval, Skin Color: Brown, Flesh Color: White, Texture: Smooth, Weight: 500-600g","Size: 250mm, Shape: Oval, Skin Color: Brown, Flesh Color: White, Texture: Smooth, Weight: 500-600g,Scientific name: Durio zibethinus, Origin: Thailand , TSS value: 22-26%, Acidity: 0.4-0.7%, Taste: Sweet and creamy, Seed: 2-3 seeds, Ripening Season: July-September, Nutritional Value: Vitamin C, potassium, and dietary fiber, Shelf life: 3-4 days"
208,Fruits,81060,Fresh Durian,IOI,"Fresh Durian is a type of fruit that is native to Southeast Asia. It is typically in season from June to August and is known for its strong, pungent smell. The taste of fresh durian is often described as being sweet and savory.","Size: Medium, Shape: Round, Skin Color: Green, Flesh Color: White, Texture: Soft, Weight: 300","Size: Medium, Shape: Round, Skin Color: Green, Flesh Color: White, Texture: Soft, Weight: 300,Scientific name: Durio zibethinus, Origin: Thailand, TSS value: 26-40%, Acidity: 0.2-0.4%, Taste: Sweet, Seed: 2-3 seeds, Ripening Season: March-April, Nutritional Value: Vitamins B, C, and minerals, Shelf life: 7-10 days"
213,Fruits,81060,Fresh Durian,Local - Lumajang,The Fresh Durian variety from Lumajang is a popular fruit among consumers for its sweet taste and rich flavor. This fruit is grown in the Lumajang region of Indonesia and is available during the summer months.,"Size: 10-12 cm, Shape: Oval, Skin Color: Brown, Flesh Color: White, Texture: Soft, Weight: 500 g","Size: 10-12 cm, Shape: Oval, Skin Color: Brown, Flesh Color: White, Texture: Soft, Weight: 500 g,Scientific name:Durio zibethinus, Origin:Lumajang, TSS value:22-26%, Acidity:0.5-0.7%, Taste:Sweet, Seed:One to three, Ripening Season:June to August, Nutritional Value:Vitamins A, B, and C, Shelf life:One to two days"
215,Fruits,81060,Fresh Durian,Black Thorn,"A popular fruit in Southeast Asia, the durian is known for its large size and strong smell. The taste of the durian is often described as a mix of sweet and savory, and the fruit is often used in desserts or as a topping on savory dishes. The durian is in season from May to August.","Size: 20-30 cm, Shape: Oval, Skin Color: Yellow-Brown, Flesh Color: Cream-Yellow, Texture: Soft, Creamy, Weight: 1-3 kg","Size: 20-30 cm, Shape: Oval, Skin Color: Yellow-Brown, Flesh Color: Cream-Yellow, Texture: Soft, Creamy, Weight: 1-3 kg,Scientific name: Durio graveolens, Origin: Malaysia, TSS value: 32%, Acidity: 3%, Taste: Sweet, Seed: Big, Ripening Season: January-March, Nutritional Value: Vitamin C, Shelf life: 2-3 days"
220,Fruits,81060,Fresh Durian,Nockachip,"The Fresh Durian variety Nockachip is a small, yellow-fleshed fruit with a strong, pungent aroma. It is grown in the tropical regions of Southeast Asia and is available year-round. Durian is a popular fruit among Southeast Asian consumers and is often likened to the taste and smell of cheese or garlic.","Size: 12 cm, Shape: Oval, Skin Color: Brown, Flesh Color: White, Texture: Soft, Weight: 300 grams","Size: 12 cm, Shape: Oval, Skin Color: Brown, Flesh Color: White, Texture: Soft, Weight: 300 grams,Scientific name: Durio zibethinus, Origin: Thailand , TSS value: 24-27%, Acidity: 0.3-0.6%, Taste: Sweet and sour, Seed: 2-3 seeds, Ripening Season: March to June, Nutritional Value: Vitamins A, B, C, and minerals such as iron, calcium and phosphorus, Shelf life: 7-10 days"
222,Fruits,80420,Fresh Fig,Bardacik,"The Fresh Fig Bardacik is a small, sweet fruit with a delicately thin skin. It is grown in the Mediterranean region and is in season from June to August. This fruit is often compared to a pear or a grape in taste and texture, and is a popular ingredient in desserts and jams.","Size: 6-8 cm, Shape: pear-shaped, Skin Color: greenish-yellow, Flesh Color: pinkish-red, Texture: delicate and sweet, Weight: 30 g","Size: 6-8 cm, Shape: pear-shaped, Skin Color: greenish-yellow, Flesh Color: pinkish-red, Texture: delicate and sweet, Weight: 30 g,Scientific name: Ficus carica, Origin: Turkey, 18-20%, Acidity: 4.5-5.5%, Tatse: sweet, crunchyJune to August, good source of dietary fiber, vitamins A, C and K, 2-3 days"
227,Fruits,80610,Fresh Grape,Niagara,"The Niagara grape is a North American grape variety derived from the native Vitis labrusca. It is a slip-skin variety, meaning that the skin is easily separated from the flesh. The Niagara grape is one of the most popular varieties of grapes in the United States, and is grown in many regions of the country. The grape is named after Niagara Falls, which is located in the state of New York, where the grape was first cultivated. The Niagara grape has a greenish-white flesh and a thin skin. The grape is known for its sweetness and is often used in making wines, jams, and jellies. The Niagara grape is also used as a table grape, and is a popular choice for eating fresh. The grape is available year-round, with peak season in the summer months.","Size: 18-22 mm, Shape: oval, Skin Color: green, Flesh Color: green, Texture: crisp, Weight: 2 grams","Size: 18-22 mm, Shape: oval, Skin Color: green, Flesh Color: green, Texture: crisp, Weight: 2 grams,Scientific name: Vitis labrusca, Origin: United States , TSS value: 20%, Acidity: 5%, Taste: Sweet , Seed: present, Ripening Season: Mid to late summer, Nutritional Value: Contains vitamins A, C, and B6, as well as minerals such as potassium and magnesium, Shelf life: 5-7 days"
229,Fruits,80610,Fresh Grape,Crimson Seedless,"The Crimson Seedless grape is a sweet, juicy grape with a soft skin. It is a popular grape variety that is grown in many regions around the world. Crimson Seedless grapes are available in the summer months.","Size: 18-22mm, Shape: oval, Skin Color: crimson, Flesh Color: green, Texture: firm, Weight: 80-90g","Size: 18-22mm, Shape: oval, Skin Color: crimson, Flesh Color: green, Texture: firm, Weight: 80-90g,Scientific name: Vitis vinifera, Origin: France, TSS value: 18-23%, Acidity: 5-7 g/L, Taste: Sweet, Seed:less, Ripening Season: August-September, Nutritional Value: Vitamin C and polyphenols, Shelf life: 6-12 months"
231,Fruits,80610,Fresh Grape,Annabesahai,"This luscious and juicy grape variety is native to the Annabesahai region. It is in season from early summer to late fall, and is loved by consumers for its sweetness and refreshing flavor. Other exciting features of this grape variety include its large size and tender flesh.","Size: 9-10 mm, Shape: oval, Skin Color: green, Flesh Color: pale green, Texture: delicate, crisp, Weight: 2-3 g","Size: 9-10 mm, Shape: oval, Skin Color: green, Flesh Color: pale green, Texture: delicate, crisp, Weight: 2-3 g,Scientific Name: Vitis vinifera, Origin: France, TSS value: 18-22%, Acidity: 6-7 g/L, Taste: Fruity, Seed: 1-2%, Ripening Season: Mid to late September, Nutritional Value: Rich in antioxidants, Shelf life: up to 2 years."
232,Fruits,80610,Fresh Grape,Thompson,"A favorite among wine enthusiasts, the Thompson grape is a greenish-black variety with a thick skin. Hailing from California's Central Valley, this grape is in season from late August to early October. Thompson grapes are large and round with a juicy, sweet flesh.","Size: Small, Shape: Round, Skin Color: Green, Flesh Color: White, Texture: Crisp, Weight: 50-60 grams.","Size: Small, Shape: Round, Skin Color: Green, Flesh Color: White, Texture: Crisp, Weight: 50-60 grams.,Scientific name: Vitis viniferaOrigin: FranceTSS value: 18-22Acidity: 6-7Taste: SweetSeed: 1-5Ripening Season: August to OctoberNutritional Value: Vitamin C, Potassium, Dietary fiberShelf life: 1-2 days"
240,Fruits,80540,Fresh Grapefruit,Pink Varieties,The Fresh Grapefruit variety Pink Varieties is a type of grapefruit that is grown in the pink variety. It is a type of citrus fruit that is native to the subtropical regions of the world. The Pink Varieties is a variety of grapefruit that is high in Vitamin C and is a good source of antioxidants.,"Size: 9-10 cm, Shape: Round, Skin Color: Yellow, Flesh Color: Pink, Texture: Juicy, Weight: 120-140 g","Size: 9-10 cm, Shape: Round, Skin Color: Yellow, Flesh Color: Pink, Texture: Juicy, Weight: 120-140 g,Scientific name: Citrus paradisi, Origin: North America , TSS value: 8%, Acidity: 2%, Taste: Tart, juicy, Seed: Few, Ripening Season: Late fall to early winter, Nutritional Value: Vitamin C, Shelf life: 3-4 weeks"
